"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Dunn County, North Dakota",127.1,72018,4646,9.5,41.7,2.6,56.2,4.3,4.710632571
"Marlboro County, South Carolina",231.1,31170,27494,31.4,39.4,2.5,38.6,15.5,6.399574544
"Hamilton County, Tennessee",172.9,48380,354098,15.9,39.3,0.0248,48,8,5.342350159
"Sabine County, Texas",199.9,35701,10368,19,50.4,2.73,49.5,12.1,5.158324821
"Wadena County, Minnesota",187.9,41909,13875,15.8,43.3,2.35,52.2,5.2,5.574778931
"Saluda County, South Carolina",160.1,42286,20053,20.6,41.2,2.78,47.5,9,3.467781604
"Guadalupe County, New Mexico",142.8,29147,4371,25.8,41.6,3.28,33.7,1.2,3.558718861
"Lincoln County, Oklahoma",198.3,46083,35042,14.9,40.7,2.58,56.8,7.1,5.677852349
"Pierce County, Washington",177.8,60397,843954,13.1,35.8,2.65,50,9.2,5.533430211
"Gwinnett County, Georgia",146.1,59858,895823,13.4,414,3.12,52.2,8.3,4.837677143
"Montgomery County, Illinois",208.6,45288,28898,17,42.2,2.17,52.5,5.4,8.704627559
"Harney County, Oregon",162.7,36340,7200,21.3,46.2,2.32,61.4,16.1,8.321273517
"Monroe County, Florida",168.5,57411,77482,14,46.8,2.55,45.8,6,4.966521485
"Mono County, California",102.1,59181,13909,11.3,38.5,2.82,42.2,13.4,1.991310644
"Cheyenne County, Nebraska",122.2,55964,10167,9,39.9,2.27,55.1,1.6,11.69354839
"Forest County, Wisconsin",166.4,41418,9057,17,45.3,2.33,52.8,10.1,7.250418293
"Stanton County, Nebraska",138.2,55955,5937,9.2,38.8,2.61,62.7,2.6,5.678233438
"Butts County, Georgia",240.6,41505,23593,21.3,38.4,2.7,46.6,10.3,6.070755704
"Renville County, Minnesota",176.5,54386,14892,11.3,44.5,2.34,57.1,5,5.738255034
"De Baca County, New Mexico",243.6,33789,1828,20.6,47.3,3.84,27.6,5.2,1.084812623
"Ingham County, Michigan",165.5,45840,286085,20.1,31.5,2.4,38.8,9,4.499226458
"Bates County, Missouri",211.1,41462,16446,18.4,41.9,2.44,54.4,6.6,4.212348529
"St. Charles Parish, Louisiana",190.3,60751,52812,12.1,37.2,2.83,48.7,7.7,6.11124004
"Montgomery County, Mississippi",194.5,31963,10152,24.7,41.7,0.0243,48.2,8.5,7.049608355
"Ohio County, West Virginia",184.4,40195,43066,18.4,43.3,2.24,45.2,5.5,3.257226644
"Banks County, Georgia",138.7,46018,18495,16.9,40.4,2.8,57.1,8.5,4.162724693
"Hudson County, New Jersey",152.6,57720,674836,17.7,34.7,2.63,41.5,9.3,5.344239425
"Zavala County, Texas",126.3,26336,12235,31,30.5,3.26,40.2,12.2,4.962779156
"Perry County, Ohio",200.6,43341,35985,17.8,40,2.59,55.4,9.5,4.775349865
"Seminole County, Florida",160.8,56443,449144,11.8,39.1,2.85,46.6,9.4,4.236255854
"Harlan County, Nebraska",223.9,46744,3452,11.4,49.5,2.19,62.4,1.7,5.410122164
"Portsmouth city, Virginia",218.1,43045,96201,18.3,34.9,2.54,37.8,11.6,5.954956101
"Dauphin County, Pennsylvania",169.1,52967,272983,13.4,39.6,2.41,47.3,7.1,5.830835519
"Thayer County, Nebraska",120.2,49517,5163,10.7,48.9,2.15,67,1.7,6.35451505
"Christian County, Kentucky",183.6,36736,73309,21.6,28.5,2.67,51.1,12.7,8.722576079
"McDowell County, North Carolina",181.8,37881,44989,17.6,43.1,2.52,50,11.1,5.517241379
"Russell County, Virginia",212,37378,27891,17.9,43.8,2.51,54,8,3.255738239
"Hunt County, Texas",198.5,43385,89844,20.5,38,2.77,50.4,11.4,4.433836917
"Scott County, Virginia",196.1,36290,22126,20.8,45.4,2.34,57.6,9.4,2.248441674
"Wythe County, Virginia",175.9,41132,29119,15.6,43.6,2.44,53.7,9.6,2.933713923
"Franklin County, Tennessee",180.5,43851,41449,16.5,41.5,2.4,52.7,9.5,5.292111343
"Limestone County, Alabama",159.7,51175,91663,13.6,39,2.64,54.6,7.8,5.183501765
"Valdez-Cordova Census Area, Alaska",191.4,73998,9362,9.9,36.6,3.1,46.5,10.7,5.470675209
"Audubon County, Iowa",176.9,50014,5773,11.1,47.8,2.15,59.8,2.6,4.757548033
"Roanoke city, Virginia",201.2,40735,99897,20.4,38,2.29,38.7,8.3,6.673085779
"Olmsted County, Minnesota",142.2,69430,151436,9.8,36.7,2.52,55.2,4.1,5.82767149
"Jefferson County, Pennsylvania",183.2,43810,44430,13.3,43.6,2.38,54.5,6.4,6.414368185
"Willacy County, Texas",167.3,29782,21903,38.8,32.3,3.51,44.3,11.5,4.799131379
"Jefferson County, Arkansas",204.1,35927,71565,26.8,38.5,2.41,40,11.2,4.806902219
"Mahoning County, Ohio",190.7,41316,231900,18.9,43.3,2.32,45.1,9.5,4.348522463
"Delaware County, New York",160.7,45860,46053,14.4,46.4,2.31,47.8,9.5,4.154951578
"Dawson County, Montana",178.3,50540,9625,11.7,41.1,2.24,59.5,2,1.750547046
"East Feliciana Parish, Louisiana",212.2,41651,19696,20.4,41.8,2.43,42.5,6.5,4.203655352
"Fremont County, Idaho",140.9,45578,12819,15.1,36.3,2.75,65.3,6,6.445533358
"La Salle County, Texas",135.7,38012,7631,28.1,31.7,3.19,47,8.1,11.31436314
"Grant County, West Virginia",128,41039,11766,17,45.6,0.028,50.5,6.7,3.528435035
"Berrien County, Michigan",179,44145,154636,17.7,41.4,2.46,50.1,9.4,5.359859567
"Hillsborough County, New Hampshire",163.2,71233,406678,8.7,40.1,2.55,51.4,5.9,5.055576216
"Logan County, Kentucky",206.8,41150,26910,16.9,40.5,2.44,52.2,7.7,4.897396103
"Rio Grande County, Colorado",136.5,40593,11543,18.3,40.9,2.49,55.5,8.1,4.941176471
"Kingfisher County, Oklahoma",174.7,59525,15584,10,38.6,2.64,60.6,3.6,5.947846469
"Osage County, Oklahoma",173.6,48014,47887,16.6,41.9,2.55,54.2,7.1,4.078719282
"Merrick County, Nebraska",163.6,50893,7787,10.4,43.8,2.28,60.9,5.2,4.215304799
"Clarion County, Pennsylvania",179.4,43202,39498,15.1,40.3,2.39,50,8.1,4.792232199
"Burnet County, Texas",160,53203,45463,14,44.1,2.58,55.9,5.1,4.124513619
"Middlesex County, Virginia",206.9,48921,10606,14.4,52.7,2.38,54.4,6.3,2.71468144
"Adair County, Missouri",162.6,35425,25378,26.9,27.9,2.36,39.1,7.9,3.767349636
"Houston County, Alabama",189.6,40124,104173,20.1,39,2.62,46.9,8.3,5.664585192
"Howard County, Indiana",172.2,47433,82556,16.8,41.5,2.37,52.1,9.2,5.977036752
"Greene County, Arkansas",194.5,42572,44196,16.3,38.3,2.56,53.1,9,5.73167141
"Comanche County, Texas",197.7,38280,13430,19.7,43.6,2.62,55.8,4.5,9.379671151
"Rawlins County, Kansas",177.8,44932,2506,11.8,50.9,2.07,61.7,2.3,10.28708134
"St. Bernard Parish, Louisiana",233.1,45615,45408,17.9,33,2.92,43,12.2,5.677721702
"Tuscarawas County, Ohio",168.7,46128,92916,13.4,41,2.49,54.9,7,5.283776996
"St. Johns County, Florida",149.9,66560,226640,8.2,42.7,2.62,55.4,6.7,3.253269113
"Putnam County, Tennessee",189.2,37693,74553,20.8,36.1,2.38,48.3,8.4,3.640481715
"Dane County, Wisconsin",153.8,61937,523643,13.4,34.6,2.35,47.5,4.9,4.458527742
"Huron County, Ohio",206.3,47824,58469,13.4,38.8,2.58,53.1,7.2,4.663965135
"Camp County, Texas",182.2,37801,12682,23.9,37.8,2.81,50.3,8.5,9.097345133
"Gordon County, Georgia",191.7,43880,56574,17.8,37,2.83,53.8,8.3,6.428197261
"Mower County, Minnesota",155.6,47537,39116,12.1,39,2.51,53.1,6.5,6.166646274
"Clay County, Indiana",186.4,44385,26503,14.5,40.4,2.54,57.8,7.8,8.386023295
"Taylor County, Florida",198.5,36374,22493,23.4,41.2,2.44,43.5,9,8.854568855
"Anoka County, Minnesota",167.9,70868,344151,7.6,37.9,2.7,54.4,6.2,6.191392604
"Hood River County, Oregon",166.7,54063,23137,14.6,39.4,2.66,52.2,5.1,3.453598302
"Sheridan County, Nebraska",169.9,40351,5220,16,46.1,2.29,56.5,1.4,5.360824742
"Yankton County, South Dakota",137.1,47363,22702,13.8,40.8,2.33,51.1,3.6,6.329660834
"Calhoun County, Florida",174.7,35256,14462,22.3,40.5,2.64,44.6,10,4.5
"Stark County, North Dakota",131.8,76672,32154,7.6,35,2.44,55.8,2.8,10.50256729
"Peoria County, Illinois",194.4,52448,186221,16.7,36.8,2.39,46.3,8.7,6.690267073
"Middlesex County, New Jersey",156.7,77330,840900,8.3,37.7,2.85,51.6,7.5,5.074989438
"Jackson County, Oregon",172.4,44835,212567,18.1,42.8,2.45,49.7,10.8,5.016549209
"Wilson County, Kansas",171.1,39764,8856,16.7,43.8,2.37,53.2,6.5,6.210826211
"Montrose County, Colorado",151.4,46336,40946,15.5,44.2,2.4,58.6,10.2,3.819022136
"Lawrence County, Mississippi",211.9,38471,12622,22.3,40.7,2.63,51.6,10.8,5.109751709
"Gonzales County, Texas",179.2,42291,20573,18.3,38.1,3.07,51.1,6.5,6.233766234
"Baxter County, Arkansas",194.7,37873,41053,14.9,51.5,2.23,57.5,7.6,4.674318905
"Guadalupe County, Texas",162.9,61825,151249,10.4,36.6,2.89,54.6,5.7,5.319420421
"Multnomah County, Oregon",177.1,53519,790294,18.6,36.5,2.41,42.3,8.8,4.640520349
"Smith County, Mississippi",200.5,38975,16059,20.8,40.1,2.65,53.6,4.8,5.357614146
"Blount County, Tennessee",172.5,47175,127253,14.7,511.2,2.51,55.8,7.8,4.324151185
"Lincoln County, West Virginia",226.9,34295,21415,24.4,41.9,2.69,50.6,10.1,2.635983264
"Sumter County, Georgia",181.7,34017,30779,33.9,34.6,2.58,37.6,14.4,6.812933025
"Lake County, California",190.6,36333,64591,24.3,45.5,2.34,45.4,14.6,6.718511986
"Josephine County, Oregon",199.7,37230,84745,20.6,47.9,2.38,51.4,12.3,6.292364753
"Etowah County, Alabama",201,39904,103057,19,40.8,2.56,50.1,9,4.287972051
"Rappahannock County, Virginia",149.6,62800,7378,9.3,49.1,2.26,63.9,2.9,5.182481752
"Montmorency County, Michigan",207.6,37961,9259,15.7,54.6,2.27,51.5,16,3.263086336
"Anderson County, Tennessee",195.6,46689,75749,15.6,43.2,2.43,48.8,7.7,3.957446809
"Dixie County, Florida",195.9,32121,16203,27.1,46.9,2.41,45.8,7.2,5.828779599
"Williamsburg city, Virginia",162.1,46954,15052,20.1,24.6,2.37,26.2,8.5,2.181467181
"Deaf Smith County, Texas",180.8,41499,18952,19.2,31.5,3.05,53.9,5.4,9.004952724
"Lawrence County, Pennsylvania",186.1,44903,88082,13.2,44.4,2.38,50.7,7,4.727253413
"Clark County, Kansas",153.7,47650,2096,13,44.4,2.25,57.7,1.4,6.746987952
"Walker County, Texas",164.6,39984,70699,26.3,35,2.37,38.5,4.4,3.854536397
"Boone County, Arkansas",198.2,39779,37222,16.9,41.4,2.45,57.7,8.4,9.035846724
"Lyon County, Kansas",182.9,43038,33339,18,32.5,2.43,46,7.2,7.999080565
"Midland County, Texas",148.3,74811,161077,9.9,32.1,2.83,53,3.4,7.101472818
"Swain County, North Carolina",215.3,34788,14434,19.3,40.7,2.58,49.5,7.7,5.56091289
"Itasca County, Minnesota",177.7,48525,45435,14.7,45.9,2.33,58.5,7.1,6.184256155
"Henry County, Iowa",183.1,50347,19950,13.3,40.7,2.43,52.1,5.1,5.797101449
"Carroll County, Illinois",194.4,50750,14616,12.6,47.5,0.0222,56.1,8.1,4.903978052
"Ashtabula County, Ohio",203.2,39757,98632,21.5,41.8,2.48,48.2,8.9,6.447299298
"Anderson County, Kentucky",202.2,54331,21979,11.3,39.9,2.56,57.2,6.9,5.4001554
"Lamb County, Texas",183.6,37111,13385,22.6,36.1,2.78,54.5,6.2,6.74955595
"Sutton County, Texas",138.2,60435,3913,13.2,35.1,2.66,66.6,4.3,6.41025641
"Caldwell County, North Carolina",195.5,38653,81287,18.8,42.8,2.56,49.5,12.2,6.057735176
"Harper County, Oklahoma",159.7,49204,3754,10.6,39,2.57,57.2,1.6,4.274611399
"Mille Lacs County, Minnesota",190,48434,25788,12,40.3,2.52,51.9,7.7,6.653151493
"Terry County, Texas",178.9,38752,12739,21.2,34.3,2.86,43.9,6.5,2.46365105
"Payette County, Idaho",166,45533,22896,14.2,38.5,2.77,55.5,10.1,8.451001054
"Jessamine County, Kentucky",186.9,51227,51961,14.7,37.4,2.65,55.1,8.8,5.553303608
"Essex County, New Jersey",161.8,54603,797434,16.7,36.9,2.77,39.1,13,5.084469955
"Passaic County, New Jersey",159.1,58030,510916,18.2,36.5,3.09,44.3,8.6,4.533343875
"Camden County, New Jersey",182.8,61685,510923,13,38.3,2.71,44.7,10.2,5.434939238
"Nelson County, Virginia",194.3,48076,14785,13.4,48.4,2.33,50,5.7,5.74048913
"Black Hawk County, Iowa",170.9,51331,133455,14.5,34.7,2.42,46,6.6,5.535521096
"Bossier Parish, Louisiana",172.6,51138,125175,14.3,34.7,2.57,49,5.7,5.823193854
"Teton County, Idaho",114.2,57644,10564,11.6,35.2,2.85,52.9,8.5,7.958199357
"Stonewall County, Texas",172.6,42780,1410,15.5,49,2.35,62,6.9,11.51832461
"Somerset County, New Jersey",153.3,100194,333654,5,40.8,2.81,56.6,6,4.842990108
"Fairfield County, South Carolina",201.9,35490,22747,23.1,44.1,2.52,45,12.8,2.009646302
"Calhoun County, West Virginia",226.5,32162,7470,21.8,47,2.44,55.7,18.1,4.780114723
"Orange County, Virginia",177.3,59282,35385,10.7,42.6,2.66,54.7,7.9,2.100668394
"Hart County, Kentucky",243.5,38038,18454,23,40.9,2.49,56.7,9.6,8.986232791
"Rains County, Texas",175.1,47834,11161,14.9,47.6,2.61,54,7.9,7.18503937
"Chase County, Nebraska",172.1,52749,3956,9.3,44.9,2.25,66.5,0.7,7.489597781
"Dawson County, Nebraska",139.7,47366,23886,13.7,36.2,2.71,56.6,4.8,8.05433327
"Jasper County, Iowa",181.7,52750,36827,11.2,42.2,2.41,54,5.4,6.996052811
"Pope County, Arkansas",207.1,39909,63390,18.3,35.2,2.62,51.5,7.6,5.167133642
"Hot Springs County, Wyoming",163,44427,4741,10.9,49.6,2.15,55.9,3.3,11.20381406
"Garfield County, Nebraska",141,40436,2028,11.8,51.4,2.1,57,3.5,3.095975232
"Tipton County, Tennessee",208.4,52339,61870,15.4,37,2.82,51.9,10.6,6.760732914
"Grant County, Washington",173.1,50388,93259,15.8,32.2,3,52.3,10.1,6.92564347
"Buncombe County, North Carolina",162.7,47296,253178,13.9,41.1,2.36,47.8,7,4.175372554
"Clay County, Texas",167.3,50993,10360,13.5,45.7,2.51,59.7,6.8,4.377431907
"Ravalli County, Montana",151.6,42902,41373,17.2,47.6,2.43,53.2,8.2,3.969171484
"Emery County, Utah",113.2,49709,10370,12.9,34.5,3.02,61.9,5.7,7.28003573
"Ray County, Missouri",204.2,51986,22810,15.3,41.5,2.63,55,8.2,4.663623735
"Hardin County, Ohio",185.1,45195,31682,19,35.4,2.55,48.5,9.6,8.008741483
"Boone County, Iowa",171,54186,26643,10.4,41.3,0.0237,54.1,4.7,4.473125884
"Johnson County, Indiana",165.1,58833,149633,10.2,37.3,2.69,57,6.3,4.614683861
"Hutchinson County, South Dakota",130.4,48879,7301,13.2,45.6,2.23,57.3,3,7.142857143
"Polk County, Missouri",183.4,38344,31229,18.1,37.5,2.52,55,9.5,3.172641121
"Toole County, Montana",174.2,45207,5087,17.2,41.7,2.24,52.6,3.1,6.557377049
"Bibb County, Alabama",212.4,39546,22583,18.1,38.9,2.95,49,8.3,4.179860671
"Pope County, Minnesota",154.5,51343,11041,10.4,46.5,2.23,63,4.1,8.178625188
"Sacramento County, California",168.9,55803,1501335,18.1,35.5,2.76,45,11.8,5.384470827
"Pike County, Indiana",174.1,47217,12594,11.3,43.4,2.49,59.7,5.1,6.414219475
"Chowan County, North Carolina",189,38887,14394,23.2,44.5,2.41,48.4,12.7,7.658119658
"Wheatland County, Montana",149.4,35875,2110,19.5,46.5,2.34,57.7,3.4,5.066666667
"Tyler County, Texas",188.1,40442,21347,19.3,42.8,2.39,53.5,11.5,6.233421751
"Orange County, New York",173.6,69228,377647,13.4,36.8,2.9,49.9,7.3,5.163242125
"Eddy County, North Dakota",227.6,47596,2365,10.7,48.3,2.15,51,1.9,8.208955224
"Bexar County, Texas",157.2,50699,1897753,18.3,33.1,2.9,45,7.4,5.991129949
"Boyle County, Kentucky",179.1,41538,29809,17.5,41,2.42,48.3,7.1,4.910307084
"Iron County, Wisconsin",195.8,39408,5794,15.6,52.4,1.99,58.1,7,4.091341579
"Irion County, Texas",142.5,63054,1554,8.6,44.9,2.5,67,4.4,5.459770115
"Schenectady County, New York",175.7,56508,154604,13.2,39.9,2.65,44.8,7.4,5.183987725
"Fannin County, Georgia",182.8,37813,24303,19.6,50.2,2.48,55,12,4.835115865
"Livingston Parish, Louisiana",186.5,58818,137788,12.3,35.3,2.79,52.2,7,5.711293942
"Tripp County, South Dakota",162.1,40545,5434,19.9,46.4,2.08,55.1,2.1,6.67996012
"Broome County, New York",163.6,46283,196567,17.2,39.9,2.37,43.8,7.8,4.2987606
"Grand County, Utah",179.8,43344,9516,15,39.1,2.44,46.3,7.1,2.808716707
"Washington County, Minnesota",152.1,84113,251597,6,38.9,2.67,57.2,4.8,5.104712042
"Mississippi County, Missouri",270.5,30661,14036,32.2,39.3,2.41,41.6,12.2,5.214497041
"Crosby County, Texas",174.1,36627,5977,24.1,38.2,2.71,53.8,10,4.238618524
"Caldwell County, Missouri",199.3,43111,9014,16.2,42.3,2.39,58.6,5.2,7.368995633
"La Paz County, Arizona",126.1,32533,20152,22.8,54.8,2.14,54.1,11.2,4.686489981
"Rockingham County, North Carolina",194.3,39606,91758,19.4,43.6,2.42,49.1,10.5,5.072603135
"Pickens County, Georgia",176.4,51047,30309,12.3,44.7,2.61,62.8,8.3,5.382482466
"Sampson County, North Carolina",183.6,33876,63724,29,39.2,2.7,45.3,10.4,5.0513461
"McKean County, Pennsylvania",170.4,44723,42412,16.6,42.4,2.29,45.4,9.1,6.282490875
"Jasper County, Indiana",204.7,55190,33470,10.3,38.8,2.71,56.3,6.3,6.211096076
"Clay County, Mississippi",187.5,33939,20048,28.4,38.8,2.57,44.2,16.2,3.726061615
"Cowley County, Kansas",184.4,45180,35788,15,38.2,2.48,51.9,7,7.404550713
"Aiken County, South Carolina",164.3,48537,165829,16.6,40.9,2.53,49.9,9.9,5.643104513
"Marion County, Kentucky",193.4,39089,19365,21.8,38.8,2.51,49.9,9.2,7.024889509
"Bartholomew County, Indiana",185.4,54101,81162,11.8,38.1,2.57,54,5.4,5.180542459
"Saginaw County, Michigan",175.3,44548,193307,17.4,40.3,2.44,45.5,11.1,5.433100881
"Rankin County, Mississippi",157.3,58368,149039,11.1,36.9,2.62,53.5,5.4,4.71844142
"Adams County, Colorado",162.4,59316,491337,12.9,33,2.98,49.7,7.9,6.288469602
"Maury County, Tennessee",187.4,51303,87757,15.5,38.6,2.55,50.8,7.7,5.317306713
"Martin County, North Carolina",177,35930,23357,19.7,46,0.0254,47.2,14.7,3.58004827
"Preble County, Ohio",192.7,49516,41329,13,41.9,2.56,55.9,7.3,3.877752218
"Warren County, Tennessee",209.6,36942,40435,19,39.7,2.51,50.2,8,6.99356005
"Hancock County, Iowa",171.3,57682,10974,8.4,44,2.33,60.3,1.5,6.274509804
"Scott County, Arkansas",207.4,33202,10513,23.7,41.3,2.66,56.8,10.9,3.421727973
"Benson County, North Dakota",169.9,39342,6753,29.9,31,2.97,41.4,6.1,9.492753623
"Wayne County, Kentucky",202.2,30619,20464,26.2,42,2.57,48.7,12.6,6.951992754
"Pike County, Missouri",192.5,44408,18348,18.9,39.5,2.47,48.4,6.5,5.282802182
"Starr County, Texas",136.5,26699,63795,35.4,29.1,3.84,47.3,13.8,5.949245101
"Columbia County, Washington",194.4,45465,3944,15.5,49.5,2.31,52.4,10.4,5.205479452
"Tucker County, West Virginia",168.1,36466,6966,17.1,47.7,2.26,60.5,7.6,3.868613139
"Costilla County, Colorado",116,27882,3584,28.5,49,2.46,48.2,14,7.517482517
"Phillips County, Arkansas",248.7,28171,19513,35.3,37.8,2.48,35.7,18.1,6.831119545
"Lubbock County, Texas",163.7,45719,299453,17.7,30.6,2.59,43.5,6.2,5.340021423
"Gibson County, Indiana",170,46466,33775,11.8,40,2.51,55.2,4.3,7.615257958
"Bethel Census Area, Alaska",218.8,45808,17946,23.8,26.7,3.86,39,17.6,9.156279962
"Butte County, Idaho",107.2,42907,2501,14.8,40.9,2.59,56.6,6.8,4.31372549
"Davidson County, North Carolina",177.5,43346,164622,16.9,41.5,2.52,54,11,5.03246323
"Sublette County, Wyoming",126.9,77222,9899,6.8,38.1,2.74,62.1,5.4,5.14813016
"Schoolcraft County, Michigan",213.7,39539,8173,17.6,50,2.38,52.1,15.6,4.633204633
"Dougherty County, Georgia",194.2,32150,91332,31.7,34.2,2.52,33.6,18,6.218730618
"Watauga County, North Carolina",136,41942,52906,26.2,29.5,2.35,38.9,9.5,2.832748693
"Murray County, Minnesota",156.4,52219,8413,9.6,47.6,2.24,61.4,4.5,6.466069142
"Lauderdale County, Alabama",194.4,41324,92596,18.7,41.1,2.35,52.4,7.1,5.10978957
"Lawrence County, Illinois",174,41759,16491,18.1,40.7,2.22,43,6.1,5.340223945
"Isabella County, Michigan",180.1,42431,70698,28.3,26.3,2.61,34.9,11.3,3.814938787
"McLeod County, Minnesota",175.4,60114,35932,7.9,39.9,2.4,56,4.5,7.114267269
"Genesee County, Michigan",192.1,41787,410849,21.5,39.6,2.48,44.6,13.2,4.863978687
"Juneau City and Borough, Alaska",166.3,80835,32756,7.9,37,2.62,48.7,5.2,5.601633278
"Worth County, Iowa",136.5,50286,7569,11,44.8,2.35,56.4,4.7,8.33867864
"Radford city, Virginia",193.1,34267,17403,32.4,22.3,2.57,25.3,8.8,1.039129729
"Fauquier County, Virginia",162.9,89106,68782,7.4,41.5,2.84,57.5,5,5.083533771
"Washington County, Arkansas",173.1,45589,225477,19.3,31.2,2.55,49,6.2,5.272822665
"Scott County, Missouri",205.4,40532,39008,20.9,39.7,2.52,50.9,6.8,5.810081525
"Carson County, Texas",136.9,58425,5969,8.6,40.7,2.62,58,1.7,6.235912847
"Berrien County, Georgia",180.7,35078,18963,26.7,39,2.71,51.1,13.8,5.015887426
"Pottawatomie County, Kansas",153.9,65373,23298,10,34.7,2.72,62.3,3.7,8.095893103
"Clinton County, Kentucky",240.8,28341,10174,25.7,40.7,0.026,51.5,9.3,4.913043478
"Polk County, Nebraska",187.7,58162,5202,8,45.4,2.37,61.8,1.9,7.071713147
"Scott County, Tennessee",255.9,31397,21950,24.5,38.6,2.61,50.2,14.1,5.677867903
"Meade County, South Dakota",147.9,54771,26986,10.4,36.2,2.42,61.8,2.3,9.527108955
"Lincoln County, South Dakota",120,79857,52849,4.3,33.8,2.74,62.1,1.9,7.080078125
"Perry County, Indiana",208.1,44623,19347,15.5,41.4,2.42,53.9,5.6,5.856832972
"Sedgwick County, Kansas",171.5,51175,511574,14.7,34.6,2.59,49.8,6.9,6.454934329
"Greene County, Pennsylvania",193.5,49897,37519,16.5,502.8,2.33,49.4,6.4,6.037875061
"Harrison County, Iowa",178.1,52824,14265,11,43.8,2.37,55.9,3.6,4.095334005
"Warren County, Missouri",177.6,52959,33513,12.8,40.2,2.74,56.2,8.9,5.58081852
"Klamath County, Oregon",177.9,39234,66016,21.9,42.5,2.39,51.4,12.4,6.075036075
"Medina County, Texas",155.6,53440,48417,14.3,38.5,2.98,54.3,6.6,9.143368819
"Madison County, New York",174.2,51600,71849,11.8,40.8,2.55,46.7,5.1,3.238819733
"Butler County, Missouri",220.7,35774,42951,21.3,40,2.51,51.4,9.4,5.075560188
"Marion County, Florida",183.4,39860,343254,17.8,48.2,2.48,49.5,12,5.222619682
"Putnam County, Indiana",197.1,49467,37585,13.5,37.5,2.52,45.4,7.3,4.543828265
"Smith County, Tennessee",225.1,43659,19295,15,41.6,2.53,59.1,5.2,3.646563815
"Brooks County, Texas",173.3,27875,7230,32.4,31.7,3.31,32.8,19.8,6.831489915
"Delaware County, Iowa",154.1,55958,17403,8.9,43.1,2.48,57.8,3.6,5.807872282
"Koochiching County, Minnesota",173.3,44113,12841,15.3,47.4,2.18,55,7.8,3.367670365
"Noble County, Indiana",186.5,50997,47733,11.1,37.9,2.58,56,8.8,6.541519012
"Phelps County, Nebraska",173.5,54137,9296,9.5,42,2.4,60.3,1.7,2.548476454
"Jefferson County, Texas",187.7,41147,254308,21.2,35.9,2.53,43.6,8.8,5.814864465
"Assumption Parish, Louisiana",188.9,46317,22842,17.8,39.3,2.64,49.1,10.3,5.233611011
"Cuming County, Nebraska",128.3,56047,9125,9.1,43.6,2.41,61.3,3.3,7.272727273
"McKinley County, New Mexico",137.7,29497,76708,35.8,30.8,3.97,33.5,15.5,7.322096363
"Chester County, Pennsylvania",159.1,85613,515939,7.3,40.1,2.66,55.9,5.9,4.919274098
"Meade County, Kansas",176.2,53903,4330,11.7,39.8,2.51,61.7,2.8,12.21973094
"McCook County, South Dakota",202.5,57741,5599,10,42.8,2.37,59.8,2.1,7.191448008
"Warren County, Kentucky",192.7,48925,122851,18.3,32.8,2.48,47.2,7.9,5.172199041
"Pickaway County, Ohio",197.4,54868,56998,13.2,39.1,2.68,51.3,6.9,5.002432301
"Bergen County, New Jersey",147.3,84309,938506,7.6,41.5,2.73,54.2,6.5,4.077070131
"Iberia Parish, Louisiana",205.9,45226,74103,19.4,35.8,0.0277,46,10.6,6.645642202
"Calhoun County, Illinois",152.3,49689,4899,12.1,46.9,2.37,65.4,5.4,6.910994764
"Auglaize County, Ohio",189.7,52650,45876,8.3,41,2.49,58.4,5,6.028766704
"Yolo County, California",158.9,54509,213016,19.5,30.9,2.77,43.1,9,4.109357003
"Greeley County, Nebraska",149,43858,2429,12.7,46,2.46,59.7,1.9,6.637168142
"Walla Walla County, Washington",162.8,49819,60338,15.7,36.9,2.5,46.5,6.4,4.138710893
"Fulton County, Georgia",165.3,55516,1010562,17.4,34.8,2.5,38.3,9.9,4.41557191
"Wichita County, Kansas",177.6,53447,2157,11.5,35.7,2.79,60.6,3.1,7.061503417
"Stewart County, Tennessee",230.1,41590,13259,17.5,43.2,2.57,57.4,10.1,2.998236332
"Lafayette Parish, Louisiana",182.9,51340,240098,15.1,34,2.55,44.6,6.3,5.986172971
"St. Joseph County, Indiana",180.3,46388,268441,17.2,36.5,2.5,46.6,8.5,5.453791069
"Whitley County, Indiana",179.7,59266,33406,9.4,41,2.5,57.7,5.3,4.732975417
"Faribault County, Minnesota",158.9,48163,14050,13.5,46.7,2.18,57.4,4.2,3.50678733
"Cumberland County, Maine",173.3,61436,289977,10.8,41.9,2.37,49.4,5.4,3.772833827
"Stone County, Missouri",169.4,40642,30943,16.2,51.3,2.42,62.5,10.8,3.314818133
"Austin County, Texas",160.1,58792,29563,11.2,40.6,2.59,59.6,6.2,4.630829016
"Nevada County, California",144.9,57118,98877,11.4,49,2.38,53.6,9.8,4.079089924
"Goochland County, Virginia",153.4,86610,22253,7.5,47.2,2.5,62.8,5,2.75862069
"District of Columbia, District of Columbia",182.3,69992,672228,18.4,33.7,2.22,27.3,9.6,4.581891653
"Floyd County, Virginia",138,43355,15651,14.1,45.2,2.46,58.9,5.7,4.274857505
"Pennington County, Minnesota",174.2,50905,14219,9.3,39.1,2.34,49.7,3,5.893845653
"Hamilton County, Illinois",236.7,49790,8200,14,43.2,2.36,61.1,4.5,4.799040192
